date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,stop,bunch,gap,"delay time (5,19]","delay time (19,120]"
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Woodfield Rd,2,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Coxwell Ave at Gerrard St East,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Euclid Ave,0,1,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Bowmore Rd,2,3,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Bay St,2,1,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Lansdowne Ave,2,4,3,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Indian Rd,0,2,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Grace St,1,2,3,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Dufferin St,2,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Gerrard St East at Beaton Ave,2,2,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Bathurst St,0,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Yonge St - College Station,2,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Dundas St West at Sterling Rd,0,0,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Brock Ave,2,2,3,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Sackville St,2,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Carlaw Ave,2,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Borden St,0,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Dundas St West at Sorauren Ave,0,0,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Crawford St,2,3,3,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Pape Ave,2,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Spadina Ave,1,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,River St,2,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Marjory Ave,1,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Kingsmount Park Rd,2,3,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Church St,0,1,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Ossington Ave,1,3,3,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Woodbine Ave,2,2,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Jones Ave,1,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Golfview Ave,2,3,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Leslie St,2,0,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,St Matthews Rd,2,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Jarvis St,0,1,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Sherbourne St,0,1,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,St George St,1,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Dovercourt Rd,1,2,3,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Glenmount Park Rd,2,3,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Prust Ave,2,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Main Street Station at Bay 7,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Norwood Rd,2,3,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,McCaul St,1,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Broadview Ave,1,1,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Ontario St,0,1,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Rusholme Park Cres,0,0,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Havelock St,2,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,High Park Loop,0,4,5,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Queens Park (Queen's Park Station),1,1,1,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Roncesvalles Ave,0,1,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,De Grassi St,0,0,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Parliament St at Carlton St,0,1,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Parkside Dr East Side,0,2,2,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Dundas St West,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Howard Park Ave at Roncesvalles Ave,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Parliament St,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Parliament St at Gerrard St East,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Sumach St,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Blackburn St,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Logan Ave,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Augusta Ave,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Beverley St,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,University Ave (Queen's Park Station,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Elizabeth St,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Greenwood Ave,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Alton Ave,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Coxwell Ave,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Gerrard St East  at Coxwell Ave,0,0,0,0
2025-01-01,14,10:00,130,10,13.9,4,0,30.13,0,2025-01-01 22:00:00,2025-01-02 04:00:00,E,Coxwell Ave at Lower Gerrard St East,0,0,0,0
