date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
datetime64[us],int64,str,int64,int64,float64,int64,int64,float64,int64,datetime64[us],datetime64[us],str,int64,float64,int64
2025-01-05 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-01-05 22:00:00,2025-01-06 04:00:00,E,50,1038.8166666666666,8
2025-01-05 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-01-05 22:00:00,2025-01-06 04:00:00,W,3,171.51666666666665,45
2025-01-12 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-01-12 22:00:00,2025-01-13 04:00:00,E,174,3970.0,35
2025-01-12 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-01-12 22:00:00,2025-01-13 04:00:00,W,41,839.0166666666667,49
2025-01-19 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-01-19 22:00:00,2025-01-20 04:00:00,E,149,1511.5666666666666,160
2025-01-19 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-01-19 22:00:00,2025-01-20 04:00:00,W,12,272.6,44
2025-01-26 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-01-26 22:00:00,2025-01-27 04:00:00,E,204,1365.2,124
2025-01-26 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-01-26 22:00:00,2025-01-27 04:00:00,W,4,219.3,56
2025-02-02 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-02-02 22:00:00,2025-02-03 04:00:00,E,248,1937.3333333333333,93
2025-02-02 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-02-02 22:00:00,2025-02-03 04:00:00,W,16,332.1,40
2025-02-09 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-02-09 22:00:00,2025-02-10 04:00:00,W,15,552.3333333333334,47
2025-02-09 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-02-09 22:00:00,2025-02-10 04:00:00,E,68,2438.266666666667,44
2025-02-16 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-02-16 22:00:00,2025-02-17 04:00:00,E,78,6382.033333333334,242
2025-02-16 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-02-16 22:00:00,2025-02-17 04:00:00,W,46,856.1833333333333,51
2025-02-23 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-02-23 22:00:00,2025-02-24 04:00:00,E,204,10402.116666666669,139
2025-02-23 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-02-23 22:00:00,2025-02-24 04:00:00,W,37,1893.05,40
2025-03-02 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-02 22:00:00,2025-03-03 04:00:00,E,194,4739.25,175
2025-03-02 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-02 22:00:00,2025-03-03 04:00:00,W,22,684.5333333333333,27
2025-03-09 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-09 22:00:00,2025-03-10 04:00:00,E,96,2984.7833333333333,99
2025-03-09 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-09 22:00:00,2025-03-10 04:00:00,W,49,828.2166666666667,35
2025-03-16 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-16 22:00:00,2025-03-17 04:00:00,E,0,1312.5833333333333,15
2025-03-16 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-16 22:00:00,2025-03-17 04:00:00,W,6,208.35,15
2025-03-23 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-23 22:00:00,2025-03-24 04:00:00,W,40,566.4166666666666,22
2025-03-23 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-23 22:00:00,2025-03-24 04:00:00,E,186,1799.9,90
2025-03-30 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-30 22:00:00,2025-03-31 04:00:00,E,70,1765.7666666666669,31
2025-03-30 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-03-30 22:00:00,2025-03-31 04:00:00,W,25,705.95,22
2025-04-06 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-04-06 22:00:00,2025-04-07 04:00:00,E,146,1248.8166666666666,101
2025-04-06 00:00:00,14,10:00,123,17,14.7,4,2,30.13,0,2025-04-06 22:00:00,2025-04-07 04:00:00,W,20,379.6166666666667,31
