date,No. of Veh,Service interval,Run time (min),Term time (min),Avg. spd (km/h),Time of Day (morning: 0-late evening: 4)*,Weekday=0/Sat=1/Sun=2,RT dist (km),Interruption,time period start,time period end,EB/WB,bunch,total delay,gap
datetime64[ns],int64,object,int64,int64,float64,int64,int64,float64,int64,datetime64[ns],datetime64[ns],object,int64,float64,int64
2025-01-01 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-01 15:00:00,2025-01-01 19:00:00,E,104,428.53333333333336,60
2025-01-01 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-01 15:00:00,2025-01-01 19:00:00,W,17,135.5,13
2025-01-02 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-02 15:00:00,2025-01-02 19:00:00,E,15,123.63333333333334,39
2025-01-02 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-02 15:00:00,2025-01-02 19:00:00,W,4,133.05,9
2025-01-03 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-03 15:00:00,2025-01-03 19:00:00,E,23,28.583333333333332,83
2025-01-03 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-03 15:00:00,2025-01-03 19:00:00,W,4,96.81666666666666,13
2025-01-06 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-06 15:00:00,2025-01-06 19:00:00,E,132,1754.45,115
2025-01-06 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-06 15:00:00,2025-01-06 19:00:00,W,24,700.7,28
2025-01-07 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-07 15:00:00,2025-01-07 19:00:00,E,147,4100.016666666666,145
2025-01-07 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-07 15:00:00,2025-01-07 19:00:00,W,22,1272.7666666666669,49
2025-01-08 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-08 15:00:00,2025-01-08 19:00:00,E,35,1626.55,63
2025-01-08 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-08 15:00:00,2025-01-08 19:00:00,W,13,862.0833333333334,30
2025-01-09 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-09 15:00:00,2025-01-09 19:00:00,E,91,4252.433333333333,109
2025-01-09 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-09 15:00:00,2025-01-09 19:00:00,W,23,858.7,40
2025-01-10 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-10 15:00:00,2025-01-10 19:00:00,E,73,951.3,63
2025-01-10 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-10 15:00:00,2025-01-10 19:00:00,W,19,538.0,44
2025-01-13 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-13 15:00:00,2025-01-13 19:00:00,W,12,275.8666666666667,22
2025-01-13 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-13 15:00:00,2025-01-13 19:00:00,E,35,1718.4166666666667,36
2025-01-14 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-14 15:00:00,2025-01-14 19:00:00,E,87,3210.6666666666665,152
2025-01-14 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-14 15:00:00,2025-01-14 19:00:00,W,22,1094.6666666666667,39
2025-01-15 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-15 15:00:00,2025-01-15 19:00:00,E,124,9358.266666666666,190
2025-01-15 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-15 15:00:00,2025-01-15 19:00:00,W,22,3290.65,51
2025-01-16 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-16 15:00:00,2025-01-16 19:00:00,E,98,13885.4,149
2025-01-16 00:00:00,19,10:00,180,10,10.0,2,0,30.13,0,2025-01-16 15:00:00,2025-01-16 19:00:00,W,28,3917.0833333333335,36
